Date,Ticker,Open,High,Low,Close,Volume
2020-10-27,1417.T,1289.2528855310043,1304.641845703125,1275.5738098224524,1304.641845703125,226800
2020-10-27,1514.T,106.60715932694693,108.32662963867188,106.60715932694693,108.32662963867188,91600
2020-10-27,1515.T,392.56120787979074,392.56120787979074,378.5411647412268,380.6029357910156,254000
2020-10-27,1605.T,426.4898633089933,427.61222462663005,422.08066359433263,423.2831726074219,5773300
2020-10-27,1662.T,286.23938825889576,286.23938825889576,275.4856384594826,277.8577880859375,1289500
2020-10-27,1721.T,2278.1031091711025,2305.9569078382556,2257.8458010495365,2304.268798828125,358300
2020-10-27,1930.T,742.2424705310682,781.0525512695312,733.9260282842215,781.0525512695312,9360
2020-10-27,1934.T,528.1844386454648,539.1181929486353,526.5023225988232,534.9129028320312,57200
2020-10-27,1938.T,1977.3996884612,2060.915029460881,1927.8124547426394,2046.1258544921875,40900
2020-10-27,1939.T,299.5425109863281,299.5425109863281,298.21121906311066,299.5425109863281,10200
2020-10-27,1941.T,1754.2367789335028,1759.932352891079,1739.5910173283066,1749.3548583984375,36600
2020-10-27,1942.T,695.9558411407471,695.9558411407471,686.4929063415527,688.2134399414062,362500
2020-10-27,1944.T,1511.1357759316857,1528.024940486216,1499.5800317627961,1504.9134521484375,317600
2020-10-27,1945.T,638.3424831521254,661.5248301407888,630.063073513317,651.5895385742188,68900
2020-10-27,1946.T,562.4024699717631,571.4867976805581,554.1439902364949,570.6609497070312,60500
2020-10-27,1949.T,2100.01632361174,2125.4607863372457,2074.5718608862344,2106.801513671875,23200
2020-10-27,1950.T,1822.3864574994714,1825.91650390625,1802.0886906604942,1825.91650390625,39800
2020-10-27,1951.T,1027.2445613237307,1033.0482029131304,1012.7354573502316,1031.8045654296875,649400
2020-10-27,1959.T,2535.9427785525068,2543.7966963112726,2513.253682804962,2532.4521484375,108400
2020-10-27,5019.T,353.548685530534,354.3663282005641,351.0957575204436,354.0392761230469,5636500
2020-10-27,5020.T,298.0998877640609,300.56692131797035,296.78413151611653,299.3334045410156,13169000
2020-10-27,5021.T,630.1686515397404,635.7951573570595,623.3364659044242,634.5894775390625,418200
